Mutation Operator,Valid,Invalid
MethodCallExpression_target_delete,71,25
SimpleAnnotationStatement_values_add,3,0
IfStatement_condition_replace,45,0
OperationDefinition_body_add,0,48
AnnotationBlock_statements_delete,3,0
PropertyCallExpression_target_delete,67,0
FormalParameterExpression_create_replace,16,0
AnnotationBlock_statements_add,12,0
FormalParameterExpression_name_replace,16,0
EOLModule_block_add,0,4
Block_statements_delete,132,0
OperationDefinition_body_delete,12,0
IfStatement_elseIfBodies_delete,13,0
AssignmentStatement_rhs_replace,4,0
EOLModule_block_delete,1,0
IntegerExpression_resolvedType_replace,38,0
FormalParameterExpression_resolvedType_replace,2,0
MethodCallExpression_method_replace,20,0
Block_statements_replace,158,0
VariableDeclarationExpression_create_replace,48,0
SimpleAnnotationStatement_name_replace,3,0
ModelElementType_modelName_replace,54,0
ExpressionOrStatementBlock_block_delete,35,0
IfStatement_elseIfBodies_add,72,0
PropertyCallExpression_extended_replace,67,0
MethodCallExpression_arguments_add,96,0
OperationDefinition_annotationBlock_delete,3,0
OperationDefinition_returnType_replace,3,0
VariableDeclarationExpression_name_replace,48,0
OperationDefinition_parameters_add,12,0
ExpressionOrStatementBlock_expression_delete,0,35
OperationDefinition_parameters_delete,15,0
MethodCallExpression_arguments_delete,13,0
Block_statements_add,192,0
IfStatement_elseBody_add,60,12
ModelElementType_modelName_delete,54,0
EOLModule_operations_delete,12,0
OperationDefinition_annotationBlock_add,9,0
ExpressionOrStatementBlock_block_add,0,140
OperationDefinition__result_delete,12,0
ExpressionOrStatementBlock_condition_delete,13,22
IfStatement_elseBody_delete,3,15
ExpressionOrStatementBlock_condition_replace,76,0
Total Mutants,1513,301
